Study_Sample	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni	Match
CarIll_2	CarMyr	191	40060	0.47452237211497855	-0.3870967741935484	0.3493422828227005	No	FALSE
CarIll_2	CarCor	246	40005	0.6111649400014907	-0.06451612903225813	0.4742796323778162	No	FALSE
CarIll_2	CarPalm	268	39983	0.6658219671560955	0.06451612903225792	0.47427963237781623	No	FALSE
CarIll_2	CarCat	641	39610	1.5925070184591688	2.252199413489736	0.012154836538403905	No	FALSE
CarIll_2	CarAqu	1606	38645	3.989962982286154	7.9120234604105555	1.2661932715610865e-15	Yes	FALSE
CarIll_2	CarIll	37126	3125	92.2362177337209	216.2404692082111	0	Yes	TRUE
CarIll_3	CarLac	83	25065	0.33004612692858276	-1	0.15865525393145705	No	FALSE
CarIll_3	CarOva	83	25065	0.33004612692858276	-1	0.15865525393145705	No	FALSE
CarIll_3	CarMyr	159	24989	0.6322570383330682	-0.394422310756972	0.3466346372486271	No	FALSE
CarIll_3	CarPalm	203	24945	0.807221250198823	-0.04382470119521923	0.4825220686450099	No	FALSE
CarIll_3	CarCor	214	24934	0.8509623031652617	0.04382470119521923	0.4825220686450099	No	FALSE
CarIll_3	CarCat	504	24644	2.0041355177350084	2.354581673306772	0.00927178407892703	No	FALSE
CarIll_3	CarAqu	1116	24032	4.437728646413234	7.231075697211155	2.3959157335834167e-13	Yes	FALSE
CarIll_3	CarIll	22786	2362	90.60760299029744	179.90039840637448	0	Yes	TRUE
CarIll_4	CarLac	48	17189	0.2784707315658177	-1.1	0.13566606094638264	No	FALSE
CarIll_4	CarOva	66	17171	0.3828972559029994	-0.9	0.1840601253467595	No	FALSE
CarIll_4	CarMyr	134	17103	0.7773974589545745	-0.1444444444444444	0.4425747615880279	No	FALSE
CarIll_4	CarCor	144	17093	0.8354121946974531	-0.033333333333333506	0.48670438618290784	No	FALSE
CarIll_4	CarPalm	150	17087	0.8702210361431804	0.03333333333333317	0.48670438618290796	No	FALSE
CarIll_4	CarCat	365	16872	2.1175378546150725	2.4222222222222225	0.007712957067618234	No	FALSE
CarIll_4	CarAqu	761	16476	4.414921390033069	6.822222222222223	4.482142612070728e-12	Yes	FALSE
CarIll_4	CarIll	15569	1668	90.32314207808784	171.35555555555558	0	Yes	TRUE
CarIll_5	CarLac	67	17816	0.3746574959458704	-1.103448275862069	0.1349162709446361	No	FALSE
CarIll_5	CarOva	91	17792	0.5088631661354359	-0.896551724137931	0.18497908410440347	No	FALSE
CarIll_5	CarMyr	160	17723	0.8947044679304368	-0.30172413793103464	0.3814311829682847	No	FALSE
CarIll_5	CarPalm	191	17692	1.068053458591959	-0.034482758620689793	0.4862460953997694	No	FALSE
CarIll_5	CarCor	199	17684	1.1127886819884807	0.03448275862068952	0.4862460953997695	No	FALSE
CarIll_5	CarCat	430	17453	2.4045182575630486	2.0258620689655165	0.02138946060076077	No	FALSE
CarIll_5	CarAqu	953	16930	5.329083487110664	6.534482758620688	3.191487351529309e-11	Yes	FALSE
CarIll_5	CarIll	15792	2091	88.3073309847341	134.4568965517241	0	Yes	TRUE
CarLac_1	CarIll	192	7190	2.6009211595773505	-1.036624203821656	0.14995551436430948	No	FALSE
CarLac_1	CarAqu	203	7179	2.749932267678136	-1.0015923566878981	0.1582702570003268	No	FALSE
CarLac_1	CarCor	373	7009	5.052831211053914	-0.4601910828025479	0.3226895355019859	No	FALSE
CarLac_1	CarPalm	383	6999	5.188295854781902	-0.428343949044586	0.33420036308585754	No	FALSE
CarLac_1	CarCat	652	6730	8.832294771064753	0.428343949044586	0.33420036308585754	No	FALSE
CarLac_1	CarMyr	831	6551	11.25711189379572	0.9984076433121019	0.1590408644032539	No	FALSE
CarLac_1	CarOva	1454	5928	19.69655919804931	2.9824840764331206	0.0014295976071806535	Yes	FALSE
CarLac_1	CarLac	3294	4088	44.62205364399892	8.84235668789809	4.686023507853083e-19	Yes	TRUE
CarLac_3	CarAqu	110	3823	2.796847190439868	-1.1858638743455499	0.11783803083883682	No	FALSE
CarLac_3	CarIll	121	3812	3.0765319094838546	-1.1282722513089007	0.12960247931646188	No	FALSE
CarLac_3	CarCor	186	3747	4.729214340198322	-0.7879581151832462	0.2153606029839031	No	FALSE
CarLac_3	CarPalm	220	3713	5.593694380879736	-0.6099476439790577	0.2709482451426458	No	FALSE
CarLac_3	CarCat	453	3480	11.517925247902365	0.6099476439790575	0.2709482451426458	No	FALSE
CarLac_3	CarMyr	503	3430	12.78921942537503	0.8717277486910993	0.19167845926760296	No	FALSE
CarLac_3	CarOva	661	3272	16.80650902618866	1.6989528795811515	0.044664031154838475	No	FALSE
CarLac_3	CarLac	1679	2254	42.69005847953216	7.028795811518323	1.0416178738548855e-12	Yes	TRUE
CarMyr_1A	CarIll	207	43159	0.47733247244385	-1.0574712643678161	0.14514828121813284	No	FALSE
CarMyr_1A	CarLac	212	43154	0.4888622423096435	-0.942528735632184	0.17296100312050894	No	FALSE
CarMyr_1A	CarCor	223	43143	0.5142277360143892	-0.6896551724137928	0.24520553128130498	No	FALSE
CarMyr_1A	CarOva	228	43138	0.5257575058801827	-0.5747126436781608	0.28274282748899554	No	FALSE
CarMyr_1A	CarAqu	278	43088	0.6410552045381175	0.5747126436781608	0.28274282748899554	No	FALSE
CarMyr_1A	CarPalm	323	43043	0.7448231333302587	1.60919540229885	0.053786810721705124	No	FALSE
CarMyr_1A	CarCat	718	42648	1.6556749527279435	10.689655172413788	5.689663078059348e-27	Yes	FALSE
CarMyr_1A	CarMyr	41177	2189	94.9522667527556	940.7816091954021	0	Yes	TRUE
CarOva_1	CarIll	156	5770	2.632467094161323	-1.2768595041322315	0.10082592663402816	No	FALSE
CarOva_1	CarAqu	157	5769	2.6493418832264597	-1.2727272727272727	0.10155741817156574	No	FALSE
CarOva_1	CarCor	289	5637	4.876814039824502	-0.7272727272727273	0.23352945085758672	No	FALSE
CarOva_1	CarPalm	339	5587	5.720553493081336	-0.5206611570247933	0.30130141889368367	No	FALSE
CarOva_1	CarMyr	591	5335	9.973000337495781	0.5206611570247934	0.30130141889368356	No	FALSE
CarOva_1	CarCat	613	5313	10.34424569692879	0.6115702479338845	0.27041106383385594	No	FALSE
CarOva_1	CarLac	1162	4764	19.60850489368883	2.880165289256199	0.001987333668861166	Yes	FALSE
CarOva_1	CarOva	2619	3307	44.19507256159298	8.900826446280991	2.771618872528634e-19	Yes	TRUE
CarOva_2	CarIll	175	6059	2.8071863971767725	-1.1753371868978804	0.11992992127678631	No	FALSE
CarOva_2	CarAqu	178	6056	2.855309592556946	-1.163776493256262	0.1222573003641713	No	FALSE
CarOva_2	CarCor	290	5944	4.65190888675008	-0.7321772639691714	0.23203018981745568	No	FALSE
CarOva_2	CarPalm	350	5884	5.614372794353545	-0.5009633911368014	0.3081984438398756	No	FALSE
CarOva_2	CarMyr	610	5624	9.785049727301892	0.5009633911368014	0.3081984438398756	No	FALSE
CarOva_2	CarCat	697	5537	11.180622393326917	0.836223506743738	0.20151458828508798	No	FALSE
CarOva_2	CarLac	1109	5125	17.789541225537377	2.423892100192678	0.007677583500109703	No	FALSE
CarOva_2	CarOva	2825	3409	45.31600898299647	9.036608863198458	8.080369990938004e-20	Yes	TRUE
CarOva_3	CarIll	132	4223	3.030998851894374	-1.0101010101010102	0.15622344917497066	No	FALSE
CarOva_3	CarAqu	136	4219	3.1228473019517797	-0.98989898989899	0.16111174663915578	No	FALSE
CarOva_3	CarCor	210	4145	4.822043628013777	-0.6161616161616161	0.268893929427344	No	FALSE
CarOva_3	CarPalm	239	4116	5.487944890929965	-0.4696969696969697	0.3192857665885373	No	FALSE
CarOva_3	CarMyr	425	3930	9.758897818599312	0.4696969696969699	0.31928576658853725	No	FALSE
CarOva_3	CarCat	550	3805	12.629161882893225	1.101010101010101	0.13544613048593485	No	FALSE
CarOva_3	CarLac	800	3555	18.369690011481058	2.363636363636364	0.009048282706845549	No	FALSE
CarOva_3	CarOva	1863	2492	42.77841561423651	7.732323232323233	5.2800698890103076e-15	Yes	TRUE
CarPalm_1	CarLac	70	25312	0.27578599007170435	-1.5146198830409356	0.0649343469906199	No	FALSE
CarPalm_1	CarOva	82	25300	0.32306358836971083	-1.3742690058479534	0.0846790923663051	No	FALSE
CarPalm_1	CarIll	146	25236	0.5752107792924119	-0.6257309941520466	0.2657457001107779	No	FALSE
CarPalm_1	CarCor	197	25185	0.7761405720589395	-0.02923976608187099	0.4883366830171061	No	FALSE
CarPalm_1	CarAqu	202	25180	0.7958395713497755	0.029239766081871503	0.4883366830171059	No	FALSE
CarPalm_1	CarMyr	223	25159	0.8785753683712868	0.27485380116959107	0.39171428094251315	No	FALSE
CarPalm_1	CarCat	951	24431	3.746749665117012	8.78947368421053	7.513111951618297e-19	Yes	FALSE
CarPalm_1	CarPalm	23511	1871	92.62863446536916	272.64912280701765	0	Yes	TRUE
CarPalm_2	CarOva	40	28605	0.139640425903299	-1.9555555555555557	0.025258766411258113	No	FALSE
CarPalm_2	CarLac	50	28595	0.17455053237912377	-1.5111111111111113	0.06538007213751076	No	FALSE
CarPalm_2	CarMyr	82	28563	0.28626287310176296	-0.08888888888888921	0.46458510698924027	No	FALSE
CarPalm_2	CarAqu	83	28562	0.2897538837493454	-0.04444444444444488	0.4822750675428801	No	FALSE
CarPalm_2	CarCor	85	28560	0.2967359050445104	0.04444444444444433	0.4822750675428803	No	FALSE
CarPalm_2	CarIll	95	28550	0.3316460115203351	0.4888888888888887	0.3124601812293226	No	FALSE
CarPalm_2	CarCat	191	28454	0.6667830336882528	4.7555555555555555	9.895071299351681e-7	Yes	FALSE
CarPalm_2	CarPalm	28019	626	97.81462733461336	1241.5555555555554	0	Yes	TRUE
