Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
xbr_1	xbr	0.01X	CarCat	13	374	3.359173126614987	1.888888888888889	0.029453359307830947	No
xbr_1	xbr	0.1X	CarLac	15	3748	0.3986181238373638	-0.9299999999999999	0.17618554224525793	No
xbr_1	xbr	0.05X	CarPalm	19	1966	0.9571788413098238	-0.4166666666666667	0.33846111951068963	No
xbr_1	xbr	0.025X	CarAqu	30	952	3.054989816700611	0.6	0.2742531177500736	No
xbr_1	xbr	0.025X	CarCat	33	949	3.360488798370672	0.8	0.21185539858339666	No
xbr_1	xbr	0.25X	CarLac	36	8974	0.39955604883462825	-1.0382513661202184	0.14957652211599523	No
xbr_1	xbr	0.1X	CarMyr	38	3725	1.0098325803879882	-0.47	0.31917750878255585	No
xbr_1	xbr	0.05X	CarAqu	39	1946	1.964735516372796	0.4166666666666667	0.33846111951068963	No
xbr_1	xbr	0.1X	CarPalm	43	3720	1.1427052883337763	-0.36999999999999994	0.3556912451994533	No
xbr_1	xbr	0.25X	CarOva	43	8967	0.4772475027746948	-0.9617486338797814	0.16808794300358645	No
xbr_1	xbr	0.05X	CarCat	61	1924	3.0730478589420653	1.3333333333333333	0.09121121972586785	No
xbr_1	xbr	0.5X	CarLac	63	16321	0.384521484375	-1.009493670886076	0.1563689677302354	No
xbr_1	xbr	0.5X	CarOva	66	16318	0.40283203125	-0.990506329113924	0.1609633485749136	No
xbr_1	xbr	0.25X	CarMyr	75	8935	0.8324084350721421	-0.6120218579234971	0.2702616480061629	No
xbr_1	xbr	0.1X	CarAqu	80	3683	2.125963327132607	0.3700000000000001	0.3556912451994532	No
xbr_1	xbr	0.25X	CarPalm	93	8917	1.032186459489456	-0.4153005464480874	0.33896095062302317	No
xbr_1	xbr	0.1X	CarCat	115	3648	3.0560722827531226	1.0700000000000003	0.14230965435593917	No
xbr_1	xbr	0.5X	CarMyr	121	16263	0.738525390625	-0.6424050632911392	0.26030510650391875	No
xbr_1	xbr	0.01X	CarIll	141	246	36.434108527131784	30.33333333333333	2.084155193540276e-202	Yes
xbr_1	xbr	0.5X	CarPalm	160	16224	0.9765625	-0.39556962025316456	0.34621127617119174	No
xbr_1	xbr	0.25X	CarAqu	169	8841	1.8756936736958933	0.4153005464480874	0.33896095062302317	No
xbr_1	xbr	0.01X	CarCor	221	166	57.105943152454785	48.111111111111114	0	Yes
xbr_1	xbr	0.25X	CarCat	261	8749	2.8967813540510545	1.4207650273224046	0.07769254046649786	No
xbr_1	xbr	0.5X	CarAqu	285	16099	1.739501953125	0.39556962025316456	0.34621127617119174	No
xbr_1	xbr	0.025X	CarIll	401	581	40.835030549898164	25.333333333333332	6.85914352458937e-142	Yes
xbr_1	xbr	0.025X	CarCor	491	491	50	31.333333333333332	8.205906429882693e-216	Yes
xbr_1	xbr	0.5X	CarCat	518	15866	3.16162109375	1.870253164556962	0.030724335036322808	No
xbr_1	xbr	0.05X	CarIll	817	1168	41.158690176322416	32.83333333333333	9.8499844797265e-237	Yes
xbr_1	xbr	0.05X	CarCor	1028	957	51.788413098236774	41.62500000000001	0	Yes
xbr_1	xbr	0.1X	CarIll	1487	2276	39.51634334307733	28.51	4.402892390797978e-179	Yes
xbr_1	xbr	0.1X	CarCor	1977	1786	52.537868721764546	38.31	0	Yes
