Species	Study	Companion	Pooled	PercErr_Comp_v_Study	PercErr_Pooled_v_Study	PercErr_Pooled_v_Comp
CarAqu	17762	147473	142994	730.2724918365049	705.0557369665578	-3.0371661253246356
CarCat	59964	476270	541793	694.2598892668934	803.5304516042959	13.757532492073823
CarCor	18091	150861	154369	733.9008346691725	753.2916920015477	2.3253193336912785
CarIll	15006	120500	117664	703.0121284819405	684.1130214580834	-2.353526970954357
CarLac	14969	54934	53099	266.9851025452602	254.72643463157192	-3.340372082863072
CarMyr	25055	138387	151310	452.3328676910796	503.91139493115145	9.338304898581514
CarOva	10497	46649	41961	344.4031628084214	299.74278365247216	-10.049518746382558
CarPalm	26771	176340	199589	558.697844682679	645.5418176384894	13.184189633662243
